StudentID,Age,Gender,StudyHoursPerDay,AttendancePercent,PreviousScore,ExtracurricularActivities,SleepHours,FinalResult
1,17,Male,1.5,58.4,62,Yes,6.2,Pass
2,18,Male,5.8,63.9,60,No,5.4,Pass
3,15,Male,5.9,58.9,58,Yes,9.0,Fail
4,17,Female,6.7,54.4,87,No,6.1,Fail
5,17,Female,7.5,56.0,58,Yes,6.3,Pass
6,18,Male,9.8,73.0,75,No,4.8,Fail
7,15,Female,5.6,60.3,68,No,8.0,Pass
8,15,Female,3.9,68.2,99,No,7.5,Pass
9,17,Female,8.2,75.2,57,Yes,5.1,Pass
10,16,Female,3.4,84.5,41,Yes,4.4,Pass
11,17,Female,5.0,52.0,40,No,7.4,Fail
12,17,Male,1.7,90.0,86,No,7.3,Pass
13,17,Female,1.2,81.4,44,Yes,5.4,Fail
14,17,Male,9.7,54.1,59,Yes,8.8,Pass
15,18,Male,8.5,93.7,50,Yes,4.8,Fail
16,15,Female,7.3,96.0,81,No,6.2,Pass
17,18,Male,4.7,53.1,41,Yes,8.7,Pass
18,18,Male,2.6,63.8,42,Yes,6.1,Pass
19,18,Male,2.4,90.3,62,No,7.2,Pass
20,17,Female,3.3,87.4,94,Yes,6.0,Pass
21,16,Female,5.9,59.2,51,Yes,5.4,Pass
22,15,Male,7.4,60.5,59,Yes,8.9,Fail
23,16,Female,6.9,68.5,44,No,6.0,Pass
24,18,Female,3.5,74.2,76,No,8.5,Pass
25,18,Female,9.6,80.9,77,No,5.1,Pass
26,16,Female,7.6,68.4,69,No,5.1,Pass
27,16,Male,6.0,73.1,48,No,4.2,Pass
28,16,Male,6.5,87.4,73,No,7.3,Pass
29,18,Female,4.8,51.8,92,No,5.8,Pass
30,18,Female,3.2,62.6,83,Yes,8.3,Pass
31,15,Male,4.2,85.7,74,Yes,6.4,Pass
32,15,Male,7.8,94.8,91,No,8.8,Pass
33,18,Female,1.1,75.6,97,Yes,4.9,Pass
34,16,Male,2.0,76.6,61,Yes,8.3,Pass
35,16,Female,1.4,55.4,83,No,7.9,Pass
36,15,Female,1.4,72.4,63,Yes,7.9,Pass
37,18,Male,8.7,76.6,56,Yes,8.2,Pass
38,15,Male,7.3,62.1,49,Yes,7.8,Fail
39,15,Female,5.3,63.5,69,Yes,7.1,Pass
40,17,Female,1.9,68.9,95,Yes,4.7,Fail
41,17,Male,5.4,51.0,98,No,4.2,Pass
42,17,Female,5.3,66.1,85,No,8.6,Pass
43,16,Male,2.6,60.6,62,No,7.1,Pass
44,18,Female,4.9,66.4,71,Yes,8.0,Fail
45,18,Male,4.6,56.0,56,No,6.4,Pass
46,18,Male,6.5,94.5,89,Yes,4.6,Fail
47,18,Male,6.7,79.7,90,Yes,4.6,Fail
48,17,Female,1.4,84.0,56,Yes,7.4,Pass
49,16,Female,4.4,89.5,53,Yes,6.2,Pass
50,16,Male,6.6,74.9,48,No,5.0,Pass
51,17,Female,5.5,54.3,79,No,6.5,Pass
52,16,Male,8.7,76.9,41,Yes,4.3,Fail
53,17,Male,6.9,79.3,84,No,6.9,Fail
54,18,Female,2.5,87.3,64,Yes,5.3,Pass
55,17,Female,1.6,71.6,78,No,8.0,Pass
56,18,Male,6.8,56.4,48,No,5.6,Fail
57,18,Female,1.2,64.2,93,Yes,6.3,Pass
58,15,Female,6.3,68.2,61,No,4.1,Fail
59,17,Male,9.5,82.3,82,Yes,4.4,Pass
60,15,Male,6.2,78.5,85,No,6.0,Pass
61,17,Female,4.5,67.8,43,Yes,6.4,Pass
62,17,Male,6.8,99.3,65,Yes,7.0,Pass
63,15,Male,5.1,80.3,97,No,5.5,Pass
64,15,Female,5.9,61.9,68,No,7.5,Pass
65,17,Male,9.5,55.1,84,Yes,8.3,Pass
66,16,Male,4.5,57.6,73,No,7.9,Pass
67,18,Female,9.7,62.3,62,No,4.2,Fail
68,15,Female,9.1,58.0,76,Yes,6.4,Pass
69,18,Male,2.8,59.3,50,Yes,4.5,Pass
